,constructorId,constructorRef,name,nationality,url,img_urls
10,11,honda,Honda,Japanese,http://en.wikipedia.org/wiki/Honda_Racing_F1,http://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Honda_logo.svg/220px-Honda_logo.svg.png
11,12,spyker,Spyker,Dutch,http://en.wikipedia.org/wiki/Spyker_F1,http://upload.wikimedia.org/wikipedia/en/thumb/5/54/Spyker_F1_Team_logo.png/210px-Spyker_F1_Team_logo.png
12,13,mf1,MF1,Russian,http://en.wikipedia.org/wiki/Midland_F1_Racing,http://upload.wikimedia.org/wikipedia/en/thumb/c/c7/Midland_F1_Racing_logo.png/230px-Midland_F1_Racing_logo.png
13,14,spyker_mf1,Spyker MF1,Dutch,http://en.wikipedia.org/wiki/Midland_F1_Racing,http://upload.wikimedia.org/wikipedia/en/thumb/c/c7/Midland_F1_Racing_logo.png/230px-Midland_F1_Racing_logo.png
14,15,sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber,http://upload.wikimedia.org/wikipedia/commons/thumb/d/de/2023_Stake_F1_Team_Kick_Sauber_logo.png/220px-2023_Stake_F1_Team_Kick_Sauber_logo.png
15,16,bar,BAR,British,http://en.wikipedia.org/wiki/British_American_Racing,http://upload.wikimedia.org/wikipedia/en/thumb/2/25/British_american_racing_logo.png/220px-British_american_racing_logo.png
16,17,jordan,Jordan,Irish,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,http://upload.wikimedia.org/wikipedia/en/thumb/9/93/Jordan_Grand_Prix_logo.png/200px-Jordan_Grand_Prix_logo.png
17,18,minardi,Minardi,Italian,http://en.wikipedia.org/wiki/Minardi,http://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Minardi_F1_Team.svg/300px-Minardi_F1_Team.svg.png
18,19,jaguar,Jaguar,British,http://en.wikipedia.org/wiki/Jaguar_Racing,http://upload.wikimedia.org/wikipedia/en/thumb/8/84/Jaguar_TCS_Racing_2021_logo.png/250px-Jaguar_TCS_Racing_2021_logo.png
19,20,prost,Prost,French,http://en.wikipedia.org/wiki/Prost_Grand_Prix,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Prost_Grand_Prix_Formula_One_Logo.png/220px-Prost_Grand_Prix_Formula_One_Logo.png
